date,good,moderate,unhealthy_sensitive,unhealthy,unhealthy_very,hazardous,extreme,max_add,max
2018-10-31,0,0,0,0,0,0,0,0,0
2018-11-01,0,0,0,0,193.4,0,0,78.4,271.8
2018-11-02,0,0,0,0,171.3,0,0,33.29999999999998,204.6
2018-11-03,0,0,0,126.6,0,0,0,64.80000000000001,191.4
2018-11-04,0,0,0,116.2,0,0,0,186.7,302.9
2018-11-05,0,0,0,0,0,304.5,0,240.60000000000002,545.1
2018-11-06,0,0,0,140.9,0,0,0,96.6,237.5
2018-11-07,0,0,0,0,248.8,0,0,532.5,781.3
2018-11-08,0,0,0,0,0,364.3,0,315.8,680.1
2018-11-09,0,0,0,0,250.2,0,0,160,410.2
2018-11-10,0,0,0,0,0,271.7,0,84,355.7
2018-11-11,0,0,0,0,223.8,0,0,111.39999999999998,335.2
2018-11-12,0,0,0,0,242.9,0,0,54.599999999999994,297.5
2018-11-13,0,0,0,0,228.2,0,0,62.900000000000034,291.1
2018-11-14,0,0,0,123.4,0,0,0,42.599999999999994,166
2018-11-15,0,0,0,105.8,0,0,0,70.50000000000001,176.3
2018-11-16,0,0,0,103.2,0,0,0,49.2,152.4
2018-11-17,0,0,0,134.1,0,0,0,46.900000000000006,181
2018-11-18,0,0,0,0,154,0,0,45.80000000000001,199.8
2018-11-19,0,0,0,143.4,0,0,0,43.29999999999998,186.7
2018-11-20,0,0,0,74.1,0,0,0,227.9,302
2018-11-21,0,0,0,0,166.4,0,0,114.6,281
2018-11-22,0,0,0,0,154.1,0,0,110.70000000000002,264.8
2018-11-23,0,0,0,0,161.2,0,0,95.10000000000002,256.3
2018-11-24,0,0,0,107.8,0,0,0,47.10000000000001,154.9
2018-11-25,0,0,0,0,159.9,0,0,102.6,262.5
2018-11-26,0,0,0,0,198.5,0,0,57.60000000000002,256.1
2018-11-27,0,0,0,0,166.5,0,0,152.7,319.2
2018-11-28,0,0,0,136,0,0,0,79.4,215.4
2018-11-29,0,0,0,0,191.7,0,0,53.80000000000001,245.5
2018-11-30,0,0,0,0,178.6,0,0,60.20000000000002,238.8
2018-12-01,0,0,0,134.3,0,0,0,52,186.3
2018-12-02,0,0,0,0,159.6,0,0,72.30000000000001,231.9
2018-12-03,0,0,0,0,173.2,0,0,85.19999999999999,258.4
2018-12-04,0,0,0,0,193.6,0,0,78.29999999999998,271.9
2018-12-05,0,0,0,0,165.8,0,0,68.6,234.4
2018-12-06,0,0,0,0,206,0,0,79.89999999999998,285.9
2018-12-07,0,0,0,0,184.7,0,0,59.20000000000002,243.9
2018-12-08,0,0,0,0,200.8,0,0,71.30000000000001,272.1
2018-12-09,0,0,0,0,229.4,0,0,87.79999999999998,317.2
2018-12-10,0,0,0,0,248.4,0,0,60.29999999999998,308.7
2018-12-11,0,0,0,0,225.5,0,0,67.39999999999998,292.9
2018-12-12,0,0,0,129,0,0,0,135.3,264.3
2018-12-13,0,0,0,77.7,0,0,0,42.5,120.2
2018-12-14,0,0,0,115.8,0,0,0,42.2,158
2018-12-15,0,0,0,127.7,0,0,0,27.39999999999999,155.1
2018-12-16,0,0,0,0,166.8,0,0,33,199.8
2018-12-17,0,0,0,0,175.7,0,0,59,234.7
2018-12-18,0,0,0,0,198.5,0,0,71.80000000000001,270.3
2018-12-19,0,0,0,0,188.6,0,0,73.50000000000003,262.1
2018-12-20,0,0,0,0,166.1,0,0,141.79999999999998,307.9
2018-12-21,0,0,0,0,0,263.3,0,126.69999999999999,390
2018-12-22,0,0,0,0,0,0,0,351.9,351.9
2018-12-23,0,0,0,0,0,0,0,517.4,517.4
2018-12-24,0,0,0,0,0,316.9,0,146.90000000000003,463.8
2018-12-25,0,0,0,0,249.2,0,0,63.900000000000034,313.1
2018-12-26,0,0,0,0,0,257.4,0,144.90000000000003,402.3
2018-12-27,0,0,0,0,0,0,0,417.7,417.7
2018-12-28,0,0,0,0,0,0,0,0,0
2018-12-29,0,0,0,0,0,0,0,0,0
2018-12-30,0,0,0,0,0,0,0,461.9,461.9
2018-12-31,0,0,0,0,0,0,0,387.7,387.7
2019-01-01,0,0,0,0,0,278.9,0,150.60000000000002,429.5
2019-01-02,0,0,0,0,0,343.8,0,149,492.8
2019-01-03,0,0,0,0,0,309.3,0,127.80000000000001,437.1
2019-01-04,0,0,0,0,0,255.7,0,154.10000000000002,409.8
2019-01-05,0,0,0,0,226.7,0,0,82.60000000000002,309.3
2019-01-06,0,0,0,0,156.8,0,0,83.6,240.4
2019-01-07,0,0,0,0,167.2,0,0,45.60000000000002,212.8
2019-01-08,0,0,0,146.1,0,0,0,61.70000000000002,207.8
2019-01-09,0,0,0,136,0,0,0,62.099999999999994,198.1
2019-01-10,0,0,0,0,195.7,0,0,195.40000000000003,391.1
2019-01-11,0,0,0,0,0,279.8,0,158.3,438.1
2019-01-12,0,0,0,0,0,277.6,0,105.29999999999995,382.9
2019-01-13,0,0,0,0,212.8,0,0,138.39999999999998,351.2
2019-01-14,0,0,0,84.1,0,0,0,41.80000000000001,125.9
2019-01-15,0,0,0,0,162.9,0,0,117.20000000000002,280.1
2019-01-16,0,0,0,0,0,277,0,143.8,420.8
2019-01-17,0,0,0,0,0,304.8,0,163.09999999999997,467.9
2019-01-18,0,0,0,0,227.3,0,0,110.80000000000001,338.1
2019-01-19,0,0,0,0,0,254.2,0,167.40000000000003,421.6
2019-01-20,0,0,0,0,0,272.8,0,141.89999999999998,414.7
2019-01-21,0,0,0,139.2,0,0,0,142.7,281.9
2019-01-22,0,0,51.6,0,0,0,0,22.999999999999993,74.6
2019-01-23,0,0,0,142.1,0,0,0,87.1,229.2
2019-01-24,0,0,0,100.7,0,0,0,82.8,183.5
2019-01-25,0,0,0,85.2,0,0,0,44.3,129.5
2019-01-26,0,0,0,98.2,0,0,0,43.60000000000001,141.8
2019-01-27,0,0,0,126.9,0,0,0,44.19999999999999,171.1
2019-01-28,0,0,0,0,0,0,0,136.1,136.1
2019-01-29,0,0,0,0,0,0,0,0,0
2019-01-30,0,0,0,0,0,0,0,0,0
2019-01-31,0,0,0,0,0,0,0,0,0
2019-02-01,0,0,0,0,0,0,0,0,0
2019-02-02,0,0,0,0,0,0,0,0,0
2019-02-03,0,0,0,0,0,0,0,0,0
2019-02-04,0,0,0,0,0,0,0,0,0
2019-02-05,0,0,0,0,0,0,0,0,0
2019-02-06,0,0,0,0,0,0,0,0,0
2019-02-07,0,0,0,0,0,0,0,0,0
2019-02-08,0,0,0,0,0,0,0,94.2,94.2
2019-02-09,0,0,0,92.8,0,0,0,67.60000000000001,160.4
2019-02-10,0,0,0,137.7,0,0,0,60.70000000000002,198.4
2019-02-11,0,0,0,0,163.9,0,0,44,207.9
2019-02-12,0,0,0,0,191.5,0,0,49,240.5
2019-02-13,0,0,0,0,195,0,0,57.19999999999999,252.2
2019-02-14,0,0,0,142.6,0,0,0,66.30000000000001,208.9
2019-02-15,0,0,0,130,0,0,0,26.19999999999999,156.2
2019-02-16,0,0,0,110,0,0,0,28.80000000000001,138.8
2019-02-17,0,0,0,104.3,0,0,0,70.10000000000001,174.4
2019-02-18,0,0,0,90.9,0,0,0,59.5,150.4
2019-02-19,0,0,0,0,159.6,0,0,101.9,261.5
2019-02-20,0,0,0,86.7,0,0,0,82.99999999999999,169.7
2019-02-21,0,0,0,95.1,0,0,0,57.900000000000006,153
2019-02-22,0,0,0,58.5,0,0,0,38,96.5
2019-02-23,0,0,0,60.4,0,0,0,47.300000000000004,107.7
2019-02-24,0,0,0,84.3,0,0,0,31.299999999999997,115.6
2019-02-25,0,0,0,91.9,0,0,0,74.4,166.3
2019-02-26,0,0,0,64.9,0,0,0,52.39999999999999,117.3
2019-02-27,0,0,0,60.3,0,0,0,41.8,102.1
2019-02-28,0,0,0,101.7,0,0,0,55.89999999999999,157.6
2019-03-01,0,0,0,86.4,0,0,0,36.599999999999994,123
2019-03-02,0,0,0,107.4,0,0,0,75,182.4
2019-03-03,0,0,0,82.1,0,0,0,81.4,163.5
2019-03-04,0,0,0,99.6,0,0,0,71.30000000000001,170.9
2019-03-05,0,0,0,66.7,0,0,0,37.3,104
2019-03-06,0,0,0,83.8,0,0,0,47.000000000000014,130.8
2019-03-07,0,0,0,93.5,0,0,0,100.1,193.6
2019-03-08,0,0,0,83.5,0,0,0,40.2,123.7
2019-03-09,0,0,0,69.8,0,0,0,46.8,116.6
2019-03-10,0,0,0,0,0,0,0,119.8,119.8
2019-03-11,0,0,0,73.5,0,0,0,31.299999999999997,104.8
2019-03-12,0,0,52.2,0,0,0,0,22.599999999999994,74.8
2019-03-13,0,0,0,105.9,0,0,0,60.69999999999999,166.6
2019-03-14,0,0,0,88.2,0,0,0,89.89999999999999,178.1
2019-03-15,0,0,0,70.5,0,0,0,58.69999999999999,129.2
2019-03-16,0,0,0,0,0,0,0,83.4,83.4
2019-03-17,0,0,0,87.2,0,0,0,98.2,185.4
2019-03-18,0,0,0,91.1,0,0,0,71.6,162.7
2019-03-19,0,0,0,86.3,0,0,0,37.60000000000001,123.9
2019-03-20,0,0,0,0,0,0,0,124.3,124.3
2019-03-21,0,0,0,0,0,0,0,61.7,61.7
2019-03-22,0,0,44.4,0,0,0,0,22.300000000000004,66.7
2019-03-23,0,0,49.8,0,0,0,0,34.3,84.1
2019-03-24,0,0,53,0,0,0,0,27.400000000000006,80.4
2019-03-25,0,0,0,72,0,0,0,27.900000000000006,99.9
2019-03-26,0,0,0,70.8,0,0,0,42,112.8
2019-03-27,0,0,0,85.1,0,0,0,48.20000000000002,133.3
2019-03-28,0,0,0,108.3,0,0,0,112.8,221.1
2019-03-29,0,0,0,96.2,0,0,0,56.999999999999986,153.2
2019-03-30,0,0,0,101.8,0,0,0,58.3,160.1
2019-03-31,0,0,50.8,0,0,0,0,31.799999999999997,82.6
2019-04-01,0,0,0,58.9,0,0,0,55.50000000000001,114.4
2019-04-02,0,0,0,83.7,0,0,0,80.89999999999999,164.6
2019-04-03,0,0,0,80.4,0,0,0,39.89999999999999,120.3
2019-04-04,0,0,0,104.3,0,0,0,80.10000000000001,184.4
2019-04-05,0,0,0,95.2,0,0,0,70.39999999999999,165.6
2019-04-06,0,0,0,0,0,0,0,150,150
2019-04-07,0,0,0,0,0,0,0,155.2,155.2
2019-04-08,0,0,0,86.2,0,0,0,31.099999999999994,117.3
2019-04-09,0,0,0,94.4,0,0,0,75.6,170
2019-04-10,0,0,0,83,0,0,0,82.30000000000001,165.3
2019-04-11,0,0,0,0,0,0,0,82.2,82.2
2019-04-12,0,0,55.4,0,0,0,0,10.100000000000001,65.5
2019-04-13,0,0,0,0,0,0,0,82.3,82.3
2019-04-14,0,0,50,0,0,0,0,18.200000000000003,68.2
2019-04-15,0,0,0,0,0,0,0,54.8,54.8
